2022-06-16 20:39:39,692 INFO     task_3_server.py Установлено соедение с ПК ('127.0.0.1', 57692)
2022-06-16 20:39:39,693 DEBUG    task_3_server.py Получено сообщение {'action': 'presence', 'time': [2022, 6, 16, 20, 39, 39, 3, 167, 0], 'user': {'account_name': 'LoggedUser'}}
2022-06-16 20:39:39,693 INFO     task_3_server.py Сформирован ответ клиенту {'response': 200}
2022-06-16 20:39:39,693 DEBUG    task_3_server.py Соединение с клиентом ('127.0.0.1', 57692) закрывается.
2022-06-16 20:59:00,655 INFO     task_3_server.py Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-06-16 20:59:07,487 INFO     task_3_server.py Установлено соедение с ПК ('127.0.0.1', 61016)
2022-06-16 20:59:07,487 DEBUG    task_3_server.py Получено сообщение {'action': 'presence', 'time': [2022, 6, 16, 20, 59, 7, 3, 167, 0], 'user': {'account_name': 'LoggedUser'}}
2022-06-16 20:59:07,488 INFO     task_3_server.py Сформирован ответ клиенту {'response': 200}
2022-06-16 20:59:07,488 DEBUG    task_3_server.py Соединение с клиентом ('127.0.0.1', 61016) закрывается.
2022-06-16 21:00:09,194 INFO     task_3_server.py Запущен сервер, порт для подключений: 7777, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-06-16 21:00:13,393 INFO     task_3_server.py Установлено соедение с ПК ('127.0.0.1', 58992)
2022-06-16 21:00:13,393 DEBUG    task_3_server.py Получено сообщение {'action': 'presence', 'time': [2022, 6, 16, 21, 0, 13, 3, 167, 0], 'user': {'account_name': 'LoggedUser'}}
2022-06-16 21:00:13,393 INFO     task_3_server.py Сформирован ответ клиенту {'response': 200}
2022-06-16 21:00:13,394 DEBUG    task_3_server.py Соединение с клиентом ('127.0.0.1', 58992) закрывается.
